Gene,Perturbed_excitatory_count,Unperturbed_excitatory_count,Perturbed_inhibtory_count,Unperturbed_inhibtory_count,excitatory_LogFC,inhibtory_LogFC,Total_cells
Foxi1,919,919,1176,1176,0.0,0.0,2153
Ebf1,919,919,1176,1176,0.0,0.0,2153
Sox30,919,919,1176,1176,0.0,0.0,2153
Zfp62,918,919,1178,1176,-0.0015707078752265138,0.002451478994096389,2153
Zfp2,924,919,1170,1176,0.00782799012702318,-0.007379530365597452,2153
Prop1,919,919,1176,1176,0.0,0.0,2153
Tcf7,920,919,1175,1176,0.001568999655340681,-0.00122730338400237,2153
Irf1,919,919,1176,1176,0.0,0.0,2153
Hand1,919,919,1176,1176,0.0,0.0,2153
Srebf1,912,919,1180,1176,-0.011031037124292894,0.004898799412839056,2153
Hes7,919,919,1177,1176,0.0,0.001226260202079849,2153
Sox15,919,919,1176,1176,0.0,0.0,2153
Zbtb4,920,919,1175,1176,0.001568999655340681,-0.00122730338400237,2153
Ybx2,920,919,1175,1176,0.001568999655340681,-0.00122730338400237,2153
Bcl6b,919,919,1176,1176,0.0,0.0,2153
Camta2,918,919,1176,1176,-0.0015707078752265138,0.0,2153
Zfp3,918,919,1179,1176,-0.0015707078752265138,0.0036756581433983696,2153
Mnt,868,919,1227,1176,-0.08236981884455526,0.06124718882654048,2153
Sgsm2,919,919,1175,1176,0.0,-0.00122730338400237,2153
Hic1,919,919,1176,1176,0.0,0.0,2153
Bhlha9,919,919,1176,1176,0.0,0.0,2153
Foxn1,919,919,1176,1176,0.0,0.0,2153
Sebox,919,919,1176,1176,0.0,0.0,2153
Hnf1b,919,919,1176,1176,0.0,0.0,2153
Lhx1,919,919,1176,1176,0.0,0.0,2153
Tbx2,919,919,1176,1176,0.0,0.0,2153
Tbx4,919,919,1176,1176,0.0,0.0,2153
Hsf5,920,919,1176,1176,0.001568999655340681,0.0,2153
Vezf1,932,919,1160,1176,0.020265093365245585,-0.01976325482142995,2153
Hlf,918,919,1177,1176,-0.0015707078752265138,0.001226260202079849,2153
Nme2,854,919,1229,1176,-0.10582879166854416,0.06359685553629721,2153
Dlx3,919,919,1176,1176,0.0,0.0,2153
Dlx4,919,919,1176,1176,0.0,0.0,2153
Kat7,891,919,1204,1176,-0.04463942976711246,0.03394733192333753,2153
Hoxb13,919,919,1176,1176,0.0,0.0,2153
Hoxb9,919,919,1176,1176,0.0,0.0,2153
Hoxb8,919,919,1176,1176,0.0,0.0,2153
Hoxb7,919,919,1176,1176,0.0,0.0,2153
Hoxb6,919,919,1176,1176,0.0,0.0,2153
Hoxb5,919,919,1176,1176,0.0,0.0,2153
Hoxb4,919,919,1176,1176,0.0,0.0,2153
Hoxb3,919,919,1176,1176,0.0,0.0,2153
Hoxb2,919,919,1176,1176,0.0,0.0,2153
Hoxb1,919,919,1176,1176,0.0,0.0,2153
Nfe2l1,890,919,1199,1176,-0.046259525435274465,0.02794359857785921,2153
Sp2,937,919,1164,1176,0.027984186370152316,-0.014797001928080552,2153
Sp6,919,919,1176,1176,0.0,0.0,2153
Tbx21,925,919,1169,1176,0.009388504114640078,-0.008613130304708033,2153
Pcgf2,913,919,1182,1176,-0.009450001304812432,0.007341975341167981,2153
Neurod2,854,919,1241,1176,-0.10582879166854416,0.07761505529399236,2153
Ikzf3,919,919,1176,1176,0.0,0.0,2153
Thra,907,919,1197,1176,-0.018962310760512108,0.025535092107137478,2153
Nr1d1,919,919,1176,1176,0.0,0.0,2153
Rara,921,919,1174,1176,0.0031362948023009943,-0.0024556517263121347,2153
Stat5b,850,919,1245,1176,-0.11260202026397045,0.08225768211907886,2153
Stat5a,919,919,1176,1176,0.0,0.0,2153
Stat3,879,919,1213,1176,-0.06420169614563043,0.044691490284145804,2153
Mlx,916,919,1181,1176,-0.004717263192090615,0.006120904560792738,2153
Etv4,901,919,1194,1176,-0.0285377554754959,0.021914776428440728,2153
Meox1,919,919,1176,1176,0.0,0.0,2153
Bptf,849,919,1238,1176,-0.11430030773599602,0.07412325437790025,2153
Sox9,828,919,1261,1176,-0.15043409378970934,0.10068021549185543,2153
Foxj1,909,919,1188,1176,-0.01578456709492736,0.014646775964401263,2153
Cbx2,917,919,1177,1176,-0.0031431276939800435,0.001226260202079849,2153
Mafg,907,919,1189,1176,-0.018962310760512108,0.015860654909291314,2153
Cenpx,1016,919,1092,1176,0.14476363548313137,-0.1069152039165119,2153
Foxk2,937,919,1157,1176,0.027984186370152316,-0.023499195728874465,2153
Ncoa1,929,919,1164,1176,0.015613735093618356,-0.014797001928080552,2153
Osr1,919,919,1176,1176,0.0,0.0,2153
Msgn1,919,919,1176,1176,0.0,0.0,2153
Mycn,896,919,1205,1176,-0.036566129231430364,0.03514508628095949,2153
E2f6,909,919,1185,1176,-0.01578456709492736,0.010998998949257108,2153
Grhl1,918,919,1177,1176,-0.0015707078752265138,0.001226260202079849,2153
Klf11,916,919,1179,1176,-0.004717263192090615,0.0036756581433983696,2153
Sox11,626,919,1461,1176,-0.553902204356416,0.3130681179671339,2153
Myt1l,900,919,1195,1176,-0.0301398600719974,0.023122558031746652,2153
Hbp1,892,919,1203,1176,-0.04302115136872975,0.032748582339712236,2153
Ferd3l,919,919,1176,1176,0.0,0.0,2153
Twist1,919,919,1176,1176,0.0,0.0,2153
Ahr,919,919,1181,1176,0.0,0.006120904560792738,2153
Meox2,919,919,1176,1176,0.0,0.0,2153
Etv1,938,919,1161,1176,0.029523061226341987,-0.018520087970797895,2153
Foxg1,881,919,1221,1176,-0.06092284236862094,0.05417514015103876,2153
Npas3,934,919,1165,1176,0.023357688420627503,-0.013558105294721786,2153
Insm2,919,919,1176,1176,0.0,0.0,2153
