Gene,Perturbed_Notochord_count,Unperturbed_Notochord_count,Perturbed_Prechordal_count,Unperturbed_Prechordal_count,Notochord_LogFC,Prechordal_LogFC,Total_cells
HER7,592,634,149,107,-0.09888566451045752,0.4777015340610147,741
HER8.2,634,634,107,107,0.0,0.0,741
HER8A,643,634,98,107,0.02033589718853994,-0.12675714228593873,741
HER9,634,634,107,107,0.0,0.0,741
HES2.1,634,634,107,107,0.0,0.0,741
HES2.2,634,634,107,107,0.0,0.0,741
HES6,576,634,165,107,-0.13841402869709488,0.6248552278446688,741
HESX1,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
HEY1,572,634,169,107,-0.14846769336101776,0.6594124498810374,741
HEY2,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
HEYL,634,634,107,107,0.0,0.0,741
HIC1,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
HIC1L,634,634,107,107,0.0,0.0,741
HIC2,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
HINFP,647,634,94,107,0.029282871853100412,-0.18687813472350961,741
HIVEP1,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
HIVEP2A,641,634,100,107,0.015841516479333677,-0.09761079662642226,741
HIVEP3A,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
HIVEP3B,634,634,107,107,0.0,0.0,741
HLFA,634,634,107,107,0.0,0.0,741
HLFB,634,634,107,107,0.0,0.0,741
HLX1,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
HMBOX1A,634,634,107,107,0.0,0.0,741
HMBOX1B,634,634,107,107,0.0,0.0,741
HMG20A,625,634,116,107,-0.0206266505899579,0.11651400872642503,741
HMG20B,582,634,159,107,-0.12346368723112346,0.5714159688832084,741
HMGA1A,627,634,114,107,-0.016017397337368386,0.09142302776359458,741
HMGA2,634,634,107,107,0.0,0.0,741
HMGB1A,641,634,100,107,0.015841516479333677,-0.09761079662642226,741
HMGB2A,710,634,31,107,0.16333618425263705,-1.7872706760142718,741
HMGB3B,499,634,242,107,-0.3454430248021467,1.1773962508734477,741
HMX1,634,634,107,107,0.0,0.0,741
HMX2,634,634,107,107,0.0,0.0,741
HMX3A,629,634,112,107,-0.011422823260117992,0.06588793565645701,741
HMX3B,634,634,107,107,0.0,0.0,741
HMX4,631,634,110,107,-0.006842835156858206,0.0398927271235125,741
HNF1A,634,634,107,107,0.0,0.0,741
HNF1BA,634,634,107,107,0.0,0.0,741
HNF1BB,634,634,107,107,0.0,0.0,741
HNF4A,634,634,107,107,0.0,0.0,741
HNF4G,634,634,107,107,0.0,0.0,741
HNRNPA0L,686,634,55,107,0.11372573603340498,-0.9601072728764874,741
HOMEZA,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
HOMEZB,591,634,150,107,-0.10132470996187483,0.48735170409473394,741
HOXA10B,634,634,107,107,0.0,0.0,741
HOXA11A,634,634,107,107,0.0,0.0,741
HOXA11B,634,634,107,107,0.0,0.0,741
HOXA13A,634,634,107,107,0.0,0.0,741
HOXA13B,634,634,107,107,0.0,0.0,741
HOXA1A,634,634,107,107,0.0,0.0,741
HOXA2B,634,634,107,107,0.0,0.0,741
HOXA5A,634,634,107,107,0.0,0.0,741
HOXA9B,634,634,107,107,0.0,0.0,741
HOXB10A,634,634,107,107,0.0,0.0,741
HOXB13A,634,634,107,107,0.0,0.0,741
HOXB1A,634,634,107,107,0.0,0.0,741
HOXB1B,594,634,147,107,-0.09401990933864153,0.4582053584352175,741
HOXB2A,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
HOXB3A,634,634,107,107,0.0,0.0,741
HOXB4A,634,634,107,107,0.0,0.0,741
HOXB5A,634,634,107,107,0.0,0.0,741
HOXB5B,634,634,107,107,0.0,0.0,741
HOXB6A,634,634,107,107,0.0,0.0,741
HOXB6B,634,634,107,107,0.0,0.0,741
HOXB7A,634,634,107,107,0.0,0.0,741
HOXB8A,634,634,107,107,0.0,0.0,741
HOXB8B,634,634,107,107,0.0,0.0,741
HOXB9A,634,634,107,107,0.0,0.0,741
HOXC10A,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
HOXC11A,634,634,107,107,0.0,0.0,741
HOXC11B,634,634,107,107,0.0,0.0,741
HOXC12A,634,634,107,107,0.0,0.0,741
HOXC12B,634,634,107,107,0.0,0.0,741
HOXC13A,634,634,107,107,0.0,0.0,741
HOXC13B,634,634,107,107,0.0,0.0,741
HOXC1A,634,634,107,107,0.0,0.0,741
HOXC3A,634,634,107,107,0.0,0.0,741
HOXC4A,634,634,107,107,0.0,0.0,741
HOXC5A,634,634,107,107,0.0,0.0,741
HOXC6A,634,634,107,107,0.0,0.0,741
HOXC6B,634,634,107,107,0.0,0.0,741
HOXC8A,634,634,107,107,0.0,0.0,741
HOXC9A,634,634,107,107,0.0,0.0,741
HOXD10A,634,634,107,107,0.0,0.0,741
HOXD11A,634,634,107,107,0.0,0.0,741
HOXD12A,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
HOXD13A,634,634,107,107,0.0,0.0,741
HOXD3A,634,634,107,107,0.0,0.0,741
HOXD4A,634,634,107,107,0.0,0.0,741
HOXD9A,634,634,107,107,0.0,0.0,741
HSF1,632,634,109,107,-0.004558281962304301,0.02671733837577941,741
HSF2,593,634,148,107,-0.09645073559340366,0.46798637922780284,741
HSF4,634,634,107,107,0.0,0.0,741
HSF5,634,634,107,107,0.0,0.0,741
ID2B,634,634,107,107,0.0,0.0,741
ID3,657,634,84,107,0.05141053018292233,-0.3491495636223867,741
IKZF1,634,634,107,107,0.0,0.0,741
IKZF2,634,634,107,107,0.0,0.0,741
IKZF4,634,634,107,107,0.0,0.0,741
IKZF5,642,634,99,107,0.018090456982895763,-0.11211036632153734,741
IM:7141269,637,634,104,107,0.006810532116893079,-0.04102726826005479,741
IM:7143333,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
IM:7147486,639,634,102,107,0.0113330908075871,-0.06904164442965136,741
IMP3,643,634,98,107,0.02033589718853994,-0.12675714228593873,741
INSM1A,634,634,107,107,0.0,0.0,741
INSM1B,634,634,107,107,0.0,0.0,741
IRF10,629,634,112,107,-0.011422823260117992,0.06588793565645701,741
IRF1A,634,634,107,107,0.0,0.0,741
IRF2,634,634,107,107,0.0,0.0,741
IRF2A,423,634,318,107,-0.5838251770194576,1.5714159688832083,741
