index,fate_excluding_DCs,fate_excluding_Ery_1,fate_excluding_HSC_1,fate_excluding_Mono_1,fate_excluding_Precursors,fate_excluding_HSC_2,fate_excluding_Mono_2,fate_excluding_Ery_2
Run4_121826187070251,Ery_1,DCs,Ery_2,DCs,Mono_1,Ery_1,DCs,Mono_1
Run4_121879156964651,HSC_2,DCs,DCs,DCs,Mega,DCs,Mono_2,DCs
Run4_121896068106075,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_121896068373812,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_121896095574750,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_121896095603508,DCs,Mono_1,DCs,HSC_2,Mono_1,DCs,Mono_1,DCs
Run4_121896114436398,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_121955406802230,Ery_2,Mega,Ery_2,Mega,Mega,Ery_1,Ery_1,Mega
Run4_121955407021878,Ery_1,Ery_1,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_121955407285596,Mega,Mega,Mega,Mega,Ery_2,Mega,Ery_1,Ery_2
Run4_121955419114358,DCs,HSC_2,DCs,DCs,Mono_2,Ery_1,Ery_1,DCs
Run4_121955419114862,DCs,DCs,DCs,DCs,DCs,DCs,DCs,Mono_1
Run4_121965741528803,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_121965753884006,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_121965754366373,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_121965773241694,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_122282776423132,Mono_1,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_122282795515302,Ery_2,HSC_1,Mega,DCs,Mega,Mega,Mega,Mega
Run4_122282795519324,DCs,Mono_1,DCs,DCs,DCs,DCs,DCs,DCs
Run4_122282795812787,Ery_2,Mega,Ery_2,Ery_1,Ery_2,Ery_2,Mega,Ery_1
Run4_122293352294813,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_122293366708085,Ery_2,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_122293367462116,DCs,DCs,DCs,DCs,Mono_1,DCs,Mono_1,DCs
Run4_122293367564598,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_122293398198509,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_122293399013212,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mega
Run4_122308384450908,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_122308399066019,DCs,DCs,DCs,DCs,DCs,DCs,DCs,Mono_1
Run4_122308430620398,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_122310412323676,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_122310412626206,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mega,Mono_1,Mono_1
Run4_122310424910766,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_122310444373789,HSC_2,DCs,DCs,DCs,Mega,Mega,Mega,Ery_2
Run4_122428778498790,Mono_2,Mono_1,Mono_1,DCs,Mono_2,Mono_1,Mono_1,Mono_1
Run4_122428793175326,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_122428793187699,DCs,DCs,DCs,DCs,Ery_1,DCs,Mega,DCs
Run4_122428823883116,DCs,DCs,DCs,DCs,Mono_2,DCs,DCs,DCs
Run4_122428824140061,Mono_2,DCs,DCs,DCs,DCs,DCs,Mega,DCs
Run4_122428824599908,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_122436428412653,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_122436428609325,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_122436443094253,HSC_2,Mega,Ery_2,DCs,Precursors,Ery_1,Mega,DCs
Run4_122436443330286,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_122436456212725,Mono_1,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_122436474493213,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_122436475018661,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_122514677619036,Ery_2,DCs,DCs,DCs,Mono_1,Ery_1,Mono_1,Mega
Run4_122514692500702,DCs,DCs,Ery_2,Mega,Mega,HSC_1,Mega,Mega
Run4_122514723751852,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_125042399558901,Ery_2,DCs,Ery_2,Ery_2,Mega,DCs,Mega,Mega
Run4_125042400315742,DCs,DCs,Mono_2,DCs,Ery_1,Mega,Mega,DCs
Run4_125042414278451,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_125042414733164,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_125042426763101,Mono_1,DCs,Mega,Ery_2,Ery_1,DCs,Ery_1,DCs
Run4_125042445641635,Mono_2,DCs,DCs,DCs,DCs,DCs,Mono_2,Mono_1
Run4_125197018315102,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_125197033818014,Mono_1,Mono_1,Mono_1,DCs,DCs,DCs,Mono_1,Mono_1
Run4_125197045586333,Mono_2,Mono_1,Mono_1,DCs,Mono_2,Mono_1,Mono_1,Mono_1
Run4_125197046212445,DCs,DCs,Mono_1,DCs,Mono_1,DCs,Mega,DCs
Run4_125197046434094,HSC_2,DCs,DCs,DCs,Mega,DCs,DCs,DCs
Run4_125239714305827,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_125239714765020,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_125239745961379,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_125239746509676,DCs,Mono_1,Ery_2,Mega,DCs,Ery_1,DCs,DCs
Run4_125247350487987,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_125247350523828,Ery_2,DCs,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_125247364709155,Mono_2,DCs,DCs,DCs,Mono_2,DCs,DCs,DCs
Run4_125247364970933,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_125677920545627,Ery_2,Mega,DCs,DCs,Mega,Ery_1,Ery_1,Mono_1
Run4_125677920970611,DCs,DCs,DCs,DCs,Ery_1,Precursors,DCs,DCs
Run4_125677921254187,Mono_2,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_125677921266413,Ery_2,Mega,DCs,DCs,Mega,Precursors,Mega,Mega
Run4_125677947799403,DCs,DCs,DCs,DCs,HSC_2,DCs,DCs,Mono_2
Run4_125677966585070,Mega,Mega,Mega,Mega,Mega,Mega,Mega,Mega
Run4_125677967206756,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_125719945276334,Mono_2,DCs,DCs,DCs,Mono_1,Precursors,Mega,DCs
Run4_125719945333155,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_125719976725363,HSC_2,Mono_1,Ery_2,Mega,Ery_1,Mono_1,Ery_1,Ery_1
Run4_125719977541037,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_125719977548197,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_125728252684085,Mono_2,Mono_1,DCs,DCs,Mono_2,DCs,Mono_1,Mono_1
Run4_125728252905323,HSC_2,DCs,DCs,DCs,Mono_2,DCs,Mega,DCs
Run4_125728266829044,DCs,DCs,DCs,Ery_2,Mega,Mega,DCs,DCs
Run4_125728267127014,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_125728267327389,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_125728298232628,Mono_1,Mono_1,Mono_1,DCs,Mono_2,Mono_1,DCs,Mono_1
Run4_125745298098036,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_125745298291501,DCs,DCs,Ery_2,DCs,Mega,DCs,Mega,Mega
Run4_125745344199091,Mono_2,Mono_2,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_126132128005486,HSC_2,DCs,DCs,DCs,Mega,DCs,DCs,Precursors
Run4_126132128200630,DCs,DCs,DCs,DCs,Mono_2,DCs,DCs,DCs
Run4_126132128500452,Mono_2,DCs,DCs,DCs,Mono_1,Ery_2,DCs,DCs
Run4_126132141381982,DCs,DCs,DCs,DCs,Mono_2,Mono_1,DCs,DCs
Run4_126132159462771,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_126149051926902,Mono_2,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_126149052745526,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_126149071067430,Mono_1,Mono_1,Mono_1,DCs,Mono_2,Mono_1,Ery_1,Mono_1
Run4_126149071162742,Precursors,DCs,DCs,DCs,DCs,Mono_1,Mega,DCs
Run4_126218818710238,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_126218832627933,Ery_2,DCs,Mega,DCs,DCs,Ery_1,Mega,Mega
Run4_126218845501230,Mono_1,DCs,DCs,DCs,DCs,DCs,DCs,DCs
