index,fate_excluding_DCs,fate_excluding_Ery_1,fate_excluding_HSC_1,fate_excluding_Mono_1,fate_excluding_Precursors,fate_excluding_HSC_2,fate_excluding_Mono_2,fate_excluding_Ery_2
Run4_161864255232883,Mono_2,DCs,DCs,DCs,Mega,DCs,Mega,DCs
Run4_161864255453532,DCs,Precursors,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_161864274077931,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_161883152600301,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_161883152636852,DCs,Mono_1,Mega,Mega,Mono_1,Mega,DCs,Mega
Run4_161883152923502,Mono_2,DCs,DCs,DCs,Mega,DCs,DCs,Mega
Run4_161883152926580,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_161883153348404,HSC_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_161883153386214,Ery_2,Mega,DCs,DCs,Mega,Ery_1,Mega,Mega
Run4_161883167800692,Ery_2,Mega,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_161883180128620,DCs,DCs,DCs,DCs,Mono_2,DCs,DCs,Mono_2
Run4_161883180383004,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_161883199032669,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_161889595091765,Mono_1,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_161889595341731,Mono_2,DCs,DCs,DCs,DCs,Mono_1,Mono_1,Mono_1
Run4_161889610222835,Mono_1,Mono_1,Ery_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_161889622386612,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_161889623076126,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_161889623161755,Ery_2,Mega,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_161889641978219,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_161889642002286,Mega,Mono_1,Ery_2,HSC_2,Mega,Mega,Mega,Mono_1
Run4_161890964487083,Ery_1,DCs,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_161890964719468,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_161890984115556,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_161893219227380,DCs,DCs,DCs,DCs,Mega,Ery_1,DCs,DCs
Run4_161893246425373,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_161893265042228,Ery_1,DCs,Mega,Mega,Mega,DCs,Mega,Mega
Run4_161893265565430,Mega,Mega,Mega,Ery_2,Mega,Mega,Ery_2,Mega
Run4_161960476723421,Mono_1,Mono_1,Mono_1,Mono_2,Mono_2,Mono_1,Mono_1,Mono_1
Run4_161960476957420,Ery_1,Mega,Ery_2,DCs,Mono_1,Ery_2,Ery_2,Mega
Run4_161960490068269,DCs,DCs,DCs,DCs,DCs,DCs,Mega,DCs
Run4_161960508214004,Precursors,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_161960508222189,Ery_1,DCs,Ery_2,Ery_2,Mega,Ery_2,DCs,Mega
Run4_161960508222771,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_161960508452262,Mono_1,DCs,Ery_2,Ery_2,Mega,Ery_2,Mega,Mono_1
Run4_161960508472182,Mega,Mega,Mega,DCs,Mega,DCs,Mega,Mega
Run4_162001533122422,DCs,DCs,Ery_2,DCs,DCs,DCs,Mono_1,DCs
Run4_162001560395102,Mono_2,Mono_1,DCs,DCs,DCs,DCs,DCs,DCs
Run4_162001579366324,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1
Run4_162078857030885,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_162078888148275,Mono_2,DCs,DCs,DCs,HSC_2,Ery_1,DCs,Ery_2
Run4_162090668153054,Mega,Mega,Mega,Mega,Mega,Mega,Ery_2,Ery_1
Run4_162090668211051,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_162090668374451,Mono_2,DCs,DCs,DCs,DCs,DCs,Mono_1,DCs
Run4_162090668383526,DCs,Mono_2,DCs,DCs,Mono_1,DCs,Ery_1,Mega
Run4_162090668419428,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_162090681326828,Ery_2,Mega,Ery_2,Ery_2,Ery_2,Ery_1,Ery_2,Ery_1
Run4_162090699901166,Mono_2,Mono_1,DCs,DCs,DCs,DCs,Mono_1,DCs
Run4_164631931640668,DCs,DCs,DCs,DCs,Mono_1,Mono_1,Mono_2,Mono_2
Run4_164631932197605,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_164631932202286,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_164631946357171,Mono_1,Mono_1,Mono_1,DCs,Mono_2,Mono_1,Mono_1,Mono_1
Run4_164631946934515,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_164631978096541,Mono_1,DCs,Mono_1,DCs,Mono_1,Mono_1,Mono_2,DCs
Run4_164631978335652,Mono_2,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_2
Run4_164631978392302,HSC_2,DCs,Ery_2,DCs,Ery_2,Ery_1,Mega,Ery_2
Run4_164698906385694,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_164698920971171,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_164698921000299,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_164698921291108,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_164698921490659,DCs,DCs,Mega,DCs,Ery_1,DCs,DCs,DCs
Run4_164698934069596,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_164753398685099,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_164753426303725,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_164753426508723,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_164753445407147,HSC_2,DCs,Ery_2,DCs,DCs,DCs,Mono_1,DCs
Run4_164753445672798,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_164761063766380,DCs,DCs,DCs,DCs,Ery_1,DCs,DCs,DCs
Run4_164761063865710,DCs,Mono_1,DCs,DCs,Mono_1,Mono_2,DCs,DCs
Run4_164761063865758,Mono_2,DCs,DCs,DCs,Mono_2,DCs,DCs,DCs
Run4_164761064061293,Ery_1,Mega,Ery_2,Mega,Mega,Mega,Mega,Ery_1
Run4_164769505065206,Ery_2,DCs,Ery_2,Ery_2,Mega,Ery_2,Ery_2,Ery_1
Run4_164769519786931,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_164769532368732,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_164769532405483,Ery_2,Mega,Ery_2,Ery_2,Ery_2,Ery_1,Ery_2,Ery_1
Run4_164769551043302,Mono_2,DCs,Mono_1,DCs,Mono_2,DCs,Mono_1,DCs
Run4_164769551531430,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_164818762755372,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_164818762807660,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_164818790858147,HSC_2,DCs,DCs,DCs,HSC_2,DCs,DCs,DCs
Run4_164818809441715,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_165164911094003,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_165164925705572,Mono_2,DCs,DCs,Ery_2,DCs,DCs,DCs,DCs
Run4_165164925737884,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_165164925794147,Ery_2,Mega,Ery_1,Ery_2,Ery_2,Ery_2,Ery_1,Ery_1
Run4_165164937825124,Mono_1,Mono_1,Mono_1,DCs,Mono_2,Mono_1,Mono_1,Mono_1
Run4_165164938345331,Mega,DCs,Ery_2,Ery_2,Ery_2,Mega,Mega,Ery_2
Run4_165188413635867,Mono_2,Mono_1,DCs,DCs,Ery_2,DCs,Mega,DCs
Run4_165188426128286,Mono_2,DCs,DCs,DCs,Mega,DCs,DCs,DCs
Run4_165188444796766,Mono_1,DCs,DCs,DCs,Mono_1,Ery_1,Ery_1,Ery_2
Run4_165232422111022,Mono_2,DCs,DCs,DCs,Mono_1,DCs,DCs,Ery_1
Run4_165232436493172,Ery_2,Ery_1,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_165232436500270,Ery_2,DCs,Mega,DCs,Mono_1,DCs,Mega,DCs
Run4_165232436800355,Mono_1,Mega,Ery_2,Ery_1,Mega,Ery_2,Mega,Ery_2
Run4_165232437250292,Ery_2,Ery_1,Ery_1,Ery_2,Ery_2,Ery_1,Ery_2,Ery_1
Run4_165232468155182,Mono_2,Mono_1,Mono_2,DCs,Mono_2,DCs,Mono_2,DCs
Run4_165232468453294,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_2,Mono_1
Run4_165302215034677,Mega,DCs,Mega,DCs,Mega,Mega,Mega,Mega
Run4_165302229921125,DCs,DCs,DCs,DCs,DCs,DCs,Mono_1,Mega
Run4_165302229973411,Mono_2,DCs,Mono_2,DCs,Mono_2,Mono_1,Mono_1,DCs
Run4_165302230538459,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_165302242536245,Mono_2,DCs,DCs,DCs,Mono_1,DCs,Mono_2,DCs
Run4_165302261111670,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_165325568949149,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_165325569190683,Ery_1,DCs,DCs,DCs,Mega,DCs,DCs,Mono_1
Run4_165325569191140,Mega,Mega,Mega,Mega,Mega,Mega,Mega,Mega
Run4_165325569444149,Ery_2,DCs,DCs,Mega,Mega,Ery_1,Mega,Mega
Run4_165325596182942,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_165325596974387,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_165325615880485,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_165327850617764,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_165327851415854,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_165327865265508,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_165327865305014,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_165327865342814,Ery_1,Mega,Ery_2,DCs,DCs,Ery_2,Mega,Mega
Run4_165327896762652,DCs,DCs,DCs,DCs,Mega,DCs,Mega,DCs
Run4_165327897225573,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_165385699191094,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_165385699191715,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_165385744804644,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_165385745418163,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_165738959525661,Mega,Mega,Ery_2,Ery_2,Ery_2,Mega,Ery_2,Ery_1
Run4_165738960055203,Ery_1,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_165738974964133,Ery_1,Mega,DCs,Mono_1,Ery_2,Ery_1,Mega,Mega
Run4_165738975021787,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_165741375405493,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_165741375740316,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_165741390884211,DCs,DCs,DCs,HSC_2,Mono_1,Mono_1,Mega,Mega
Run4_165741402700662,Mono_1,Mono_2,Mono_1,DCs,Mono_1,DCs,DCs,Mono_1
Run4_165741421813099,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_165741422328555,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_165851837098413,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_165851882969884,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_165858427955635,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_165858428012773,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_165858428246939,Ery_2,DCs,Precursors,DCs,DCs,Mega,Mono_2,DCs
Run4_165858428710309,Mono_1,Mono_1,DCs,DCs,DCs,Mono_1,Mono_1,DCs
Run4_165858428742579,Mono_1,Mono_2,DCs,DCs,DCs,Mono_1,Mono_1,Mono_1
Run4_165858459925294,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_165860292316397,Ery_2,DCs,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_165860339018076,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_165945520872804,HSC_2,DCs,DCs,DCs,Ery_1,HSC_2,Mega,DCs
Run4_165945520899886,Mono_2,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_165945548167606,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_165945548589915,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_165945548695347,Ery_2,DCs,DCs,Mono_1,Mono_2,Ery_2,Mega,Precursors
Run4_165946191964982,HSC_2,Mono_1,Mono_2,DCs,Mono_2,DCs,DCs,DCs
Run4_165946191985518,DCs,Mega,Ery_2,Mega,Mega,DCs,Mega,Mega
Run4_165946238094685,Mono_2,DCs,DCs,DCs,Mono_2,Mono_1,Mega,Mono_1
Run4_165946238581555,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1
Run4_166264153945974,Mono_2,Mono_1,Mono_1,HSC_2,Mono_1,DCs,DCs,DCs
Run4_166264181274933,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_166264181541595,DCs,DCs,DCs,DCs,DCs,Mega,DCs,DCs
Run4_166264200448795,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_166288044255972,DCs,DCs,Mono_1,DCs,Mono_1,Mono_2,Mono_1,DCs
Run4_166288044440883,Ery_2,Mono_1,DCs,Ery_2,Mega,DCs,DCs,Mega
Run4_166288045061981,DCs,DCs,DCs,DCs,Mono_1,DCs,Mega,Mono_1
Run4_166288058936093,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_166288059484011,DCs,Mono_1,DCs,DCs,Mono_2,DCs,DCs,DCs
Run4_166288071743342,Ery_2,DCs,Mono_1,DCs,Mono_2,DCs,Mono_1,DCs
Run4_166288071781093,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_166288090421678,Ery_2,Mega,Ery_2,Mega,Ery_2,Ery_1,Ery_1,Ery_1
Run4_166288091172085,Ery_1,DCs,DCs,DCs,Mono_1,DCs,DCs,Mono_2
Run4_166288091204518,DCs,DCs,DCs,DCs,Mega,Mega,Mega,DCs
Run4_166290890345373,Ery_2,DCs,DCs,DCs,Mega,Ery_1,Mega,DCs
Run4_166290890869157,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_166290909715892,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_166332068444526,Mono_2,Mono_1,DCs,DCs,Mega,DCs,DCs,DCs
Run4_166332094860132,Ery_1,DCs,DCs,DCs,DCs,Ery_1,Mega,DCs
Run4_166332095646443,Mono_2,HSC_1,Ery_1,Ery_2,Ery_2,Ery_2,Ery_1,DCs
Run4_166332095651107,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_166351395244773,Mono_2,Mega,Ery_2,DCs,Mega,Mega,Mega,Mega
Run4_166351422549219,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_166351422572892,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_166400384715572,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_166400399718763,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_166400431085917,Mono_1,Mono_1,Mono_1,HSC_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_166400431123379,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_166400431147246,DCs,Mono_1,Mono_1,DCs,Mono_2,DCs,Mono_2,Mono_2
Run4_166400431373164,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_166402800405918,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_166402827937654,Mono_2,DCs,DCs,DCs,Mega,DCs,DCs,HSC_2
Run4_166402828397278,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_166402846776101,Mono_1,Mono_2,Mono_1,DCs,Mono_2,Mono_1,Mono_1,DCs
Run4_166416894024044,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_166416908205293,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_166416908213147,DCs,DCs,DCs,DCs,Mega,DCs,DCs,DCs
Run4_166416908434804,Ery_2,DCs,Ery_2,DCs,Ery_2,DCs,Mega,DCs
Run4_166416908728038,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_166416921054563,Mono_2,Precursors,DCs,DCs,DCs,DCs,DCs,DCs
Run4_166416921287019,DCs,DCs,DCs,DCs,Mono_2,DCs,DCs,DCs
Run4_166416921324324,DCs,DCs,DCs,DCs,DCs,Mega,DCs,DCs
Run4_166416939444532,DCs,Mega,DCs,DCs,Mega,DCs,Mega,Mega
Run4_166416940185454,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_166469252832180,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_166469252861171,HSC_2,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_166469253118774,DCs,Mega,DCs,DCs,Mega,DCs,DCs,DCs
Run4_166469253613812,Mono_1,DCs,Ery_2,Mega,DCs,Mega,DCs,Mega
Run4_166469265381213,Mono_1,DCs,Mono_1,Mega,DCs,Mega,DCs,Ery_1
Run4_166469265746845,DCs,DCs,DCs,DCs,Mono_2,DCs,Mono_1,DCs
Run4_166469284354269,DCs,DCs,DCs,DCs,Mono_1,DCs,Mega,Mega
Run4_169014006836124,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_169014052641571,Ery_2,Mega,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_169022462769963,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_169022477199211,Mega,Precursors,Mega,Mono_2,Mega,DCs,Mega,DCs
Run4_169022508166572,Mega,Mega,Mega,Mega,Mega,Mega,Mega,Mega
Run4_169027831216484,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169027831458102,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169027845438758,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169027877072227,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169027877332726,DCs,DCs,Ery_2,Mega,Ery_1,DCs,Mega,Ery_2
Run4_169082591504619,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169082592286508,Ery_2,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Ery_1,Mono_1
Run4_169082606972126,DCs,DCs,DCs,DCs,Mega,Mono_1,Ery_2,Mega
Run4_169082619619038,Mono_2,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_169082619620075,Mono_1,Mono_2,DCs,DCs,Mono_1,Mono_1,Mono_1,DCs
Run4_169151714249011,DCs,DCs,DCs,DCs,Mega,Mega,DCs,DCs
Run4_169151728609587,DCs,DCs,DCs,DCs,DCs,Mega,DCs,DCs
Run4_169151728629614,Ery_2,DCs,DCs,DCs,DCs,DCs,Mono_1,Mono_1
Run4_169156948449012,Mono_1,DCs,Ery_2,DCs,Mega,Mega,DCs,Mega
Run4_169156963121974,Ery_2,DCs,Ery_2,DCs,Ery_2,Mega,DCs,Mega
Run4_169156963649267,Ery_2,DCs,DCs,DCs,Mega,DCs,DCs,Mono_1
Run4_169156975679342,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169156994784099,Ery_1,Mega,DCs,DCs,Mega,Ery_1,Mega,Mega
Run4_169158171125549,Ery_2,DCs,DCs,DCs,Ery_1,DCs,Mega,DCs
Run4_169158171545006,Ery_1,Mega,Ery_2,Mega,Mega,Mega,Mega,Mega
Run4_169158202517812,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169158842205990,Precursors,Mono_1,DCs,DCs,Mega,DCs,DCs,Mono_1
Run4_169158854723430,Ery_2,Mono_1,Ery_1,DCs,DCs,Precursors,Mega,Mono_1
Run4_169174262569195,Mono_1,Mono_2,Mono_2,DCs,Mono_1,Mono_1,Mono_1,DCs
Run4_169174276992309,Mono_2,Mono_1,DCs,DCs,DCs,DCs,DCs,DCs
Run4_169174277412580,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_169174289804012,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_169174290090844,Mono_2,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169174290291939,HSC_2,DCs,DCs,DCs,Mega,Mega,Mega,Mega
Run4_169174309156595,HSC_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_169572486232813,Mono_2,DCs,DCs,DCs,Mono_1,Ery_2,DCs,DCs
Run4_169572513827550,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169572532448107,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169572532960157,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_169579762052517,Ery_2,DCs,DCs,Mega,Mega,Ery_1,Mega,Mega
Run4_169579762112812,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_169579780893038,DCs,Mono_1,Mono_2,DCs,Ery_1,Mega,DCs,DCs
Run4_169587518682979,Mega,Mega,Mega,Mega,Mega,Mega,Mega,Mega
Run4_169587518884660,Mono_1,Mono_1,Mono_1,DCs,Mono_1,DCs,Mono_1,Mono_1
Run4_169587533334875,DCs,Mega,Ery_2,Mega,Mega,DCs,DCs,DCs
Run4_169587533535589,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_169587533592877,Mono_2,Mono_1,Mega,Ery_2,Ery_2,DCs,Mega,Mono_1
Run4_169587533858614,DCs,DCs,DCs,DCs,Ery_2,DCs,DCs,DCs
Run4_169723749914356,DCs,Mega,DCs,DCs,Ery_2,Precursors,Mega,DCs
Run4_169723764791516,Mono_1,DCs,DCs,Ery_2,Mega,Mega,DCs,DCs
Run4_169723765058803,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_169723777104246,HSC_2,DCs,DCs,DCs,HSC_2,Ery_1,DCs,DCs
Run4_169723777702643,DCs,Mega,Ery_2,Ery_2,Ery_1,Mega,Mega,Ery_1
Run4_169723777735083,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_1,Ery_2,Ery_2
Run4_169723795725230,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169723795986867,Ery_1,DCs,DCs,Mono_2,Mega,Mega,Mega,Mega
Run4_169727105906971,Mono_2,DCs,DCs,DCs,Mono_2,Mono_1,Mono_2,DCs
Run4_169727120304363,Mono_2,Mono_2,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_169727120555301,DCs,DCs,Mega,Ery_1,Ery_2,Mega,Ery_1,Ery_2
Run4_169727120566196,Ery_1,DCs,DCs,DCs,Mega,Ery_1,DCs,DCs
Run4_169727132322141,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169727152012531,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_169768847366942,DCs,DCs,DCs,DCs,Mega,Mega,Mega,HSC_1
Run4_169768874531107,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_169793543387868,Ery_2,DCs,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1,Ery_1
Run4_169793557744547,Mega,Mega,Mega,Mega,Mega,Mega,Mega,Mega
Run4_169793557747629,Mono_1,DCs,DCs,DCs,Mega,Precursors,Mega,DCs
Run4_169793570138844,Mono_1,Mono_1,Mono_1,DCs,Mono_2,Mono_1,Mono_2,Mono_1
Run4_169793570355572,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Mono_1,Ery_1,Mono_1
Run4_169794750863131,HSC_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_169794751290212,DCs,DCs,DCs,DCs,Mono_2,DCs,Mono_1,Mono_1
Run4_169794751609180,DCs,DCs,DCs,DCs,Ery_1,DCs,Mega,Mono_2
Run4_169794765970726,Mono_2,DCs,DCs,DCs,Mono_1,DCs,Mono_2,DCs
Run4_169794766038774,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_169794766224757,Mega,DCs,Mega,Mega,Mega,Mega,Ery_2,Ery_1
Run4_169794778028974,DCs,DCs,Mega,Mega,Mega,DCs,DCs,Mono_1
Run4_169794797517683,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_169794797791469,Ery_1,Mono_2,Ery_2,Ery_2,Ery_2,Ery_1,Ery_1,Ery_1
Run4_169795556849566,DCs,Mono_1,DCs,DCs,Mono_2,DCs,DCs,DCs
